,OWNER,NFT,NAME,BATCH,ACTIVE,REP
46,0:e022094d465a04582eaa70ae29cae4826337982c4eb893f355ffe14228969919,EQCz0W1At1aAOLjxVK4FTfLg3Db07rWr-LtM0vOk8E8n7ovbEQDIQl8sOHK0eBOcHytK35usujajJwSZKZBni--V0nd36VIN,TONNEL Relayer #249TONNEL Relayer #587,BronzeBronze,NoNo,10.0
47,0:4a5d2e4f4a64faaef5cc587599e2cea7d559247ff2eb16c7e7862eee404686fe,EQCccBfjA9rQP_EhMi7ifn-Sv5OZKk-NClLPSKO7B9LQXssdEQCmIN9GNJCTnlCf2dAQ4j1EByQcgDsktwQJk7R6POiyk_3U,TONNEL Relayer #268TONNEL Relayer #410,BronzeBronze,NoNo,10.0
48,0:d70c214b5e0893ae319235506ebca3d955894f9f727fbbdeb1c4b6acdffca845,EQDmpzQFpknUfpWyyQV2Ij2QidjXv10jB8hhMUlP28ytaaaSEQADky2uAQPwxpSjqTucKvNrr6cqeaUoZWkWtfVONrh1PsLP,TONNEL Relayer #120TONNEL Relayer #280,BronzeBronze,NoNo,10.0
49,0:9eeadd6a1d9c11386b864f9d94053f2b7bde3d9618a0aa9ba2be9afdaf7d8fbe,EQCQNmzBzqEw8AKy3T3ACAcWjujNQM2ikaWbbpf2AdS1NANFEQA1xtJJQ4N2eR4kiQQ9u8HM0mMGVyQClaby0Qpdz87MYxrH,TONNEL Relayer #177TONNEL Relayer #461,BronzeBronze,NoNo,10.0
50,0:25d3e0db77696e2c403aac45050fc931a4d14b4b02a02704f0d7f1291b20aa27,EQAJqsrOXnoxNegAGcnNwp9PKXnVoYqdOI4LZFMCZSO6QXDTEQDwRonxFP95rP_1u3dv4hmKeQAMSByDaLArhdeCWV-gMqka,TONNEL Relayer #129TONNEL Relayer #214,BronzeBronze,NoNo,10.0
51,0:b66bbbc4fe597969fb6a32065ba5dfe4772fee37c739261c9fd09f949076707d,EQACZsAKsEzHuOn4OM2JtmSJJZP6z85-qWbftajH6rUvQDggEQA3rnHA7CuSROsB0T15hNEggRas7e1bXusj4ZTfXHhYUr9u,TONNEL Relayer #534TONNEL Relayer #558,BronzeBronze,NoNo,10.0
52,0:5577950d00f869b8c4a3ade0ccc77559caecef8fdfebbe00203a505593c07c1b,EQDjFOMzMyxfZKpOKStXU3tdUT_pHgpxcN_IwATQBcp9do2k,TONNEL Relayer #371,Bronze,No,9.5
53,0:f205ce69ae3e1fb24e57540e313bb4db62f936f4d9272345961ff70b63d56244,EQBK6QVToL0pwPo7-eKqWuYQCuOElA-omb2a_kpTtCv1Vsft,TONNEL Relayer #485,Bronze,No,8.333333333333334
54,0:e3a61681fcf5ad4b5be66eed6182d66f6ad35a150df137dd819c1532b57bf7d8,EQBLnKzLXren9mhY_v6lLjdqS0kbkNEKZ1qVWbTTYA0ufOsg,TONNEL Relayer #468,Bronze,No,8.234126984126984
55,0:a41b658fcaae95d957bea3ba56fb1668af110fb5e78d2b9ff7eb7821641de2d4,EQBRYjrXkwramG5x6HFVo6fOcOyHbQhkK_8GF-hqCqW5EvZ5,TONNEL Relayer #173,Bronze,No,8.142857142857142
56,0:b976cac229eb53840a1b73fd2b139cde817107b772b224a8485ac4f694ea74ab,EQA9VzofQFdf-mBD48tcEONkymW_7THQsg-F9G_A69s2UwgQ,TONNEL Relayer #256,Bronze,No,7.857142857142854
57,0:8df452fa596fcecb2bbb499124cf5a8b79e63e96a54c871cf23f67091a5b659b,EQDNpDW-4Mj5umY3UPSbZGHZyix5euUP11uMAb5Ux4kI0vdb,TONNEL Relayer #544,Bronze,No,7.857142857142854
58,0:92219f14c17da4838a48bffb0895d554da53db10020896681dfad95c1d2a8d97,EQChrGT9-vHrwiDwyTu8iKG9tgnmMlR0Y0XtsBsvFR2XQh45,TONNEL Relayer #169,Bronze,No,7.857142857142854
59,0:b4e335a0d30b259ccae8cd026efc63e00864b0b8c1606f5ebfff74289bfc6ce5,EQDpdaeuOkY1ujIcSGBi0TqVT5U76uZ7xmQBhGK2AuMfu-3n,TONNEL Relayer #376,Bronze,No,7.8
60,0:d58ab5b002e43328b6baa8df8e08f2e6108ef3f17455242d359c5259f2b945b8,EQAtYKdPrXRLD43i7EkzoGbkoJTkh40NS1B1KmJOds-hfmCl,TONNEL Relayer #450,Bronze,No,7.5
61,0:f6b0e14286fb4b32a3b4b96d1c37fa8b563ee678c29428d5194032c1e839a94d,EQBVNwp1N3yavIIU22EMGfM3bbxjP--fC7pnvpsJeHhvzsUJ,TONNEL Relayer #121,Bronze,No,7.142857142857143
62,0:d1cc74369981e300285eb364f1843acc5d3f77cddb7886cd6d23eae74b3e5587,EQBgHr1p2bo4II8wNQnt2nm5f4zCcBp04x5MdYCmwKnzl92B,TONNEL Relayer #490,Bronze,No,7.142857142857143
63,0:c2af13ea0300f863eba184fde41c7ac9ce7f9e1009341d51c8c5f5a8f6c6c50c,EQA9Ktl5bmOQQuyQkb-Zymvxr9Vzz5CAHbfxl8K-AP9vqdMc,TONNEL Relayer #59,Bronze,No,7.142857142857143
64,0:f6fed886131ab14961e868f2da26e9b491d3409e41072ac2cf45387c062ff2d3,EQA0PD1qcW7An9aBl4TGGOlovkFfRzrJbBhctro7jXxd9Jfo,TONNEL Relayer #88,Bronze,No,7.142857142857143
65,0:a997d770428adf55c72dd322bd948636224fc3224fe525079868a74429f19d2c,EQBB1C60zSfoJiffG_DR8jdm9zOj_L7IoII_6VHlZHaRwOjm,TONNEL Relayer #143,Bronze,No,6.805555555555556
66,0:b69a147d20245dcbcd6bbad7c988692a1f5f4ff661f31b65bee421fd65d8e5bf,EQDnTcaop5sQL4B7f157tnWiWMIihUPFuYhACPh99prYYMJH,TONNEL Relayer #66,Bronze,No,6.8
67,0:9906f1c8c3b05ae8a48686850f35cd8c0ff961b59fac996407ebce4f15323b53,EQC10D5Rx718kwzW7rh-pGDZ2e8Fws3-hlEKTSCqd8A5uGil,TONNEL Relayer #389,Bronze,No,6.8
68,0:2b71995d701e2a1936579f6639dab6133195835048f32aeddd503d01bd10c8a5,EQB_Zz2n4SjDlQtIfLryycLErZ8Mr-GJRwCGdxV2CcIPhkjp,TONNEL Relayer #112,Bronze,No,6.666666666666667
69,0:fd5e67c2492f9ae3476c7fca97183e8acfaebc43336e5f9eb0e3004b11279c9a,EQAv4VC7KRTVQsvtXHV9jPVREKO7QM5EJH0wBddq_ps1etCg,TONNEL Relayer #48,Bronze,No,6.25
70,0:f8e99db6d8946b60dcfc2ef2a1ed0d29a2fcaefeba37dd5e2cab424f7f000824,EQC6PMx94TbIqdAidZB81pW5JnH8-1aRkPSv65LGCeVGCKR4,TONNEL Relayer #547,Bronze,No,6.0
71,0:c7a880fc330b9ecb71f27c179e04a2c5f2e5693a0362bc260e86d4c589815d5a,EQB60crQPw4q8iTiPEFIJgK7ZeG4w82xzLO0xMzznS3oSyUh,TONNEL Relayer #384,Bronze,No,6.0
72,0:faee4a6fb6ba69c9c6de5ffac88a4fffc7b2398646c87ccb8538d9f4bed2c376,EQD-avP7UHDHw5CQXzDY8gJAE77YUtp4tv5iGK2enoU1iFYC,TONNEL Relayer #580,Bronze,No,6.0
73,0:be30aacdd2b2f04e3cf47204b7c638959bc18e0128e6cfa833d2634b1032e283,EQCEZBZcV11Q8gw3aFS2_A61IP_emJ3Wsp4Jfx-o4NnarWaK,TONNEL Relayer #248,Bronze,No,5.0
74,0:f25ee3c92ce01bbfe46943631906345d842c5eef6fc9a507d594421091f96129,EQAxKCKMg5Lq0Cd5jcEDxMvTHPn7qPpxy-A0pgD902FGywru,TONNEL Relayer #192,Bronze,No,5.0
75,0:dd89df4e35ac095ff551d81bf005f1ff6a4bae5de3d66f904bec3accb1e4f95b,EQDiXj4MO4NR-jX9vshaJj7rLIanG4_-mDQ-Jouw2w2i6HSR,TONNEL Relayer #140,Bronze,No,5.0
76,0:f1e2b061518f818d0c9d31750d5b9b10c8de421aa3d3c5be22f817bf2dda2580,EQDyP9n7uuA20neguHJGPe0adBwtLLI9TbCiB-0OIjsdQp-9,TONNEL Relayer #484,Bronze,No,5.0
77,0:bdede01e234eec4ecdfe8dc27341b032af7475f64c6842ccd4ea38fa8192f9eb,EQAozpUpkOTkrovAuvNmweJHUBRvuilLs_G4E8D4M5F1CuNm,TONNEL Relayer #180,Bronze,No,5.0
78,0:c41395ccb620c498fdd62b5660962f87994cd26cf60aed7c841061e193d2e3e1,EQDWvb3HresH0IuJSwVWjNiZSA8iripXxb0H5cVL_wsIoKHQ,TONNEL Relayer #556,Bronze,No,5.0
79,0:f107e8ae224552092e5519ef406d70b2565edf00bf6c7b081c0ca1bc9dab94c3,EQDBh8onOak4ebbzDTS9PHpqErNrvrAm_DNy4OrdRQN796_Q,TONNEL Relayer #306,Bronze,No,5.0
80,0:c518062920edde72b699dbc063e671b928871b659a831219b2eb570509848880,EQCUcpoUBFwr5rONK_rTEEB-5ZzJSPXsxcRtSPN2B_D6yElK,TONNEL Relayer #330,Bronze,No,5.0
81,0:f319c2c871680fc3afbb72eb65c32a6aa54bf03359c7719dc2abf7c12d5f5234,EQAUvOElfutMs5a0cgnSRCmJruhaeZ73ZqEptY805x4JF3kP,TONNEL Relayer #231,Bronze,No,5.0
82,0:f59a38af28db24ada77c15057c52d3400ba6b2301e5b82feab62684e71228f2e,EQC--h04STKDuY9d4b43fBQ6fuTrrOjML-6RKV7kWbjipRZx,TONNEL Relayer #519,Bronze,No,5.0
