,NFT,OWNER,NAME,BATCH,ACTIVE,REP
79,EQAbofSAHJuTFjCLVISOrcCCDUEnrCSwuT_5zTwQtDTqEVCG,0:277b4b32dbc256f59c1f5dfe027366e59947a38cb908825ad8b2d05f7e52d11b,TONNEL Relayer #79,Bronze,Yes,35.00000000000001
80,EQAdYiBQwuzguR49ZsHWtAeGZ2fWOVMgYYKGjZmp5cZj6oNL,0:ea997130cdd998fc21302082c965806c1130d76311bdff3110530e5404b95245,TONNEL Relayer #80,Bronze,Yes,5.0
81,EQDbMMpqKz1p6wlBvQHqH6tmiH0WCuOVmyq8bGte6EcaPzkc,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #81,Bronze,No,5.0
82,EQALK8TgfrP7UYwYFd9uDNE_67EGSBZ3_wQ55yNuVo8ogh0v,0:4f989ec6e638ef75cebb8fc58c2bde9d42ef60b38e2cf15f7be127d9b1bc8250,TONNEL Relayer #82,Bronze,No,5.0
83,EQBAxgU2h-SQqexYCGWeB829Ejt7EzpsN5AEnemsM9sqrsNJ,0:614830ed80276d07e57b36c3c00b005f613cd180f1fd1456b472dde16ae5558d,TONNEL Relayer #83,Bronze,Yes,5.0
84,EQDZb1uv2Xy40HokDjwSx90Bp51iaq7WASd9Csq4PXv6YSKS,0:2d00b07ca99ea8ff6e83b4f3e274505be4bed0046d83885ba4ddb384d2e40e3e,TONNEL Relayer #84,Bronze,Yes,5.0
85,EQCf2AVnnGLf3Mv9k-KSp-nZJFSxFSnM_dgadWRXkUm6EpPO,0:8f60fdf9202bc19cd2be848721a7fe317bfe7c1cbc9c8a038df3ff8f1d2d8931,TONNEL Relayer #85,Bronze,Yes,8.333333333333334
86,EQA4f-M6DyNmvJManv3JTf2APN-xYFKx9ea9A3hFRvHKpTot,0:f90cb820a3e153846bfc7299f593c1901ba8c789d25dd9e8088f80cb9a0cefeb,TONNEL Relayer #86,Bronze,No,6.118233618233618
87,EQDeSszLCCT9qBYbZ2Tsb6GkogU_4tSWjGc13FJXMdBqSzBJ,0:a16cbd8ad72bf20f611d812ae52f1af3fa0b28040cdc884ee6adca36c3b24a31,TONNEL Relayer #87,Bronze,Yes,5.0
88,EQA0PD1qcW7An9aBl4TGGOlovkFfRzrJbBhctro7jXxd9Jfo,0:f6fed886131ab14961e868f2da26e9b491d3409e41072ac2cf45387c062ff2d3,TONNEL Relayer #88,Bronze,No,7.142857142857143
89,EQDwGQOJm3mMxei-79vNLATc6AfU4gdDcdc9k1xDu5DaCr-o,0:485299a5cdee7668bf467cba98d1c83050a24e54c931bf7e77a00d73576516a5,TONNEL Relayer #89,Bronze,Yes,5.0
90,EQC-v-ig5lyBDxUXDYmjz7BAW1V33lSxq1rGvUlQUzCtUa5q,0:92ff7f2722781ce265f623455509a8d2f8bd636a7811b42055528ba6440b7f33,TONNEL Relayer #90,Bronze,No,5.0
91,EQCmiP8pUrzn_CVbfbIxVKmQHKpGeARlBVdxPVXGi8-aagqf,0:a8afbbc6ea08a7053541cd1f3018199a7b99d45fb3571d066421c55f304d8e47,TONNEL Relayer #91,Bronze,Yes,710.0
92,EQB8kAA9GH3hxlXgwbiNS7QZhbTLIlKJnaB4KUwaZdGpmtOC,0:9cfd8c8a7319f70a30602888911d13bf29a18e295b2b75ff5e387391d2c9d7ad,TONNEL Relayer #92,Bronze,Yes,5.0
93,EQBvLI9Q6-PWO79l8yCvN4HcEKxuMY-zTfyvPIrEZnp9AmR8,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,TONNEL Relayer #93,Bronze,No,44.83333333333333
94,EQBlc7e_FsjrNXw32CrrL-pkEG3-rU6_NujH9CdYWo3TAMsJ,0:c7807b0d4aedcf21c1b1f3e0d5a2c41abbe992c199797c4384371deaf12cb77c,TONNEL Relayer #94,Bronze,Yes,5.0
95,EQDFJgjCsN6nNMSITep3zYkJ7ZOQR5xgvSx7wenRNlRz4dgc,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #95,Bronze,No,5.0
96,EQDBIUBOnNN9wzSutPC2GEHGuS2Kilm7ouSTDAHryAAJ6Au5,0:cef34a77cf0f6faf7f1b852f3d5b9de78d9c5f362f1fa149ed95bcf61c4e95bd,TONNEL Relayer #96,Bronze,No,5.0
97,EQATihbfyg0ZUUObiLmBSprG93DZCrfsBrlzz4jwcGzyTVqk,0:2b883e108af78bba2ee572a4cbe4a46e902778ef7f0db5048d8ec14bf0a71744,TONNEL Relayer #97,Bronze,No,5.0
98,EQCs1RXvr8CX288xVbNdq6u2yvNSNa6ibPI_LCZ0_gBLfmAv,0:aaf5771a75d960643557652b38c59d6865fb575699a1a9d074c7fd1a89b59319,TONNEL Relayer #98,Bronze,No,5.0
99,EQBiDyYN7TH1B4q0fvYBEM7jXhb-NpA5mbUUAxR4iWx4knbH,0:3b5e682c2a4a9c450c8ecb86025f41694d7afea7431a129007bbc296638fbb21,TONNEL Relayer #99,Bronze,No,5.0
100,EQCFUUMfylLO6Ak67uBAlR-_OROH6VccU93EcZ_BVRPY8At9,0:44096e25b6db5d1293569c9540973c9d9e0701fcc11f99c6672aab5534eccd6b,TONNEL Relayer #100,Bronze,Yes,94.88095238095222
101,EQC7e6_-jdkyGMdK1JCrEW6AuWvsn6vaVQFXrKTG377kCLPf,0:3f7ebc0952b398490d5f6c17690d4b421a75d537d91d78c5bc450d1bbee6f79a,TONNEL Relayer #101,Bronze,No,5.0
102,EQA3DfV1445lbalWNWkMDdjVxTCbJJqM9q6eFJhqJyyjhfki,0:9fed171c72cfb8245230346042d0aad139adec61822f212972ef5eedf24787b3,TONNEL Relayer #102,Bronze,No,5.0
103,EQAkG4dFeThO6QuYOty53JvY7Do7QlRSd5nf5C1RlmD7F4K6,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,TONNEL Relayer #103,Bronze,Yes,8.18452380952381
104,EQDE5fSoxDlCuxuQThvpwfuC4XByQB7JgMudfmqoLkHmw097,0:e4c9f55065b7e771d1b5a5b43c79f3f40a9f802937d862b9a7f023833c151480,TONNEL Relayer #104,Bronze,No,5.0
105,EQDAlJbr5StMm-hU3l5L8BWs6ls9uOq-EQ2xqwVoMjWf-V9S,0:726a9944005096954cf08fbfdbfbb6c6d0a798db0aa6232e3c66e689b7153fc0,TONNEL Relayer #105,Bronze,Yes,5.0
106,EQC0AaQE48A7YW4CYUO3XEiipGsYCjtNuH6fGZBfXrLvyD5K,0:ce150b305ebf34445e1e9944a791c71821c2c8410b0366fe07b423480604d94d,TONNEL Relayer #106,Bronze,Yes,5.0
107,EQB0SO9dU4hiQivNppyHjpWqbhtKowWnLpIahnjLOm_pTqbM,0:fb44f30a8140531b9732e2fdb510d46a12b7f9033425589e8fb8a01be430a02a,TONNEL Relayer #107,Bronze,No,5.0
108,EQDa0lcC7z3w9F8MrHDqR9T6C0cUO16WWqOR9yEH6ZPHBh3F,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #108,Bronze,No,6.2
109,EQAolkUHDiNDDSu8AaDvE9FHgjQymNXdniu2yIrYdvVLtu5j,0:277b4b32dbc256f59c1f5dfe027366e59947a38cb908825ad8b2d05f7e52d11b,TONNEL Relayer #109,Bronze,Yes,35.00000000000001
110,EQCu1DpYY4o2SL4uJyBBXG1yGiiub9Gq2dHMXRSCkOObBV9h,0:4b12fc66a00ca72a85718e98a03ddca913c6d3bee3281b12c0ccd5f636590334,TONNEL Relayer #110,Bronze,No,5.0
111,EQDrixrQp1Or5seUYTmkHFclIYUInsh4CSSUSO-D7KLioNgv,0:a3686bb2b3f670b9c1ac7806cb553bf5e61a09b97299a0fc48d9447b0b7631ac,TONNEL Relayer #111,Bronze,Yes,5.0
112,EQB_Zz2n4SjDlQtIfLryycLErZ8Mr-GJRwCGdxV2CcIPhkjp,0:2b71995d701e2a1936579f6639dab6133195835048f32aeddd503d01bd10c8a5,TONNEL Relayer #112,Bronze,No,6.666666666666667
113,EQBW84ruR3r-hGMuszZb3twy3qZ1MN2p1KnYAEwnVBrSHWf_,0:6ea4830877d8e7a00d86d74e0894bd8a7f5d366e9c68f09ae9b9162e47d5c0a8,TONNEL Relayer #113,Bronze,No,5.0
114,EQBpGACFS9CDBZ8Lx-Y9Pj2DRibRkxb3hDKKp5kWPnIFGcGD,0:4288893333643de1f1625a8fd0a1508e738c14bffbf5107334d4977d047dda85,TONNEL Relayer #114,Bronze,Yes,5.0
115,EQDYP0TGgKt2oFHQWU7y0rtArFVrShJdXOVkho7_1iTF88RS,0:39a11e1b3c68b393926c83976d34242ddd367089d78caa38cbf2fb33abade5a0,TONNEL Relayer #115,Bronze,No,5.0
116,EQDAgy9S54UWZE4yt0W7f1OJS71CJfXvyqzacM8OUVXVQmb-,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,TONNEL Relayer #116,Bronze,No,7.761904761904768
