,OWNER,NFT,NAME,BATCH,ACTIVE,REP
32,0:6174e4d86f552279db5de65fa15615c51a3fcd2262e5def1efe9385c5a86b8a8,EQA0uyc6Wiu7eVc70DOwm2gIi8-TZZDHK9iX_ZpSk-BMR24S,TONNEL Relayer #586,Bronze,Yes,117.5
33,0:b63eba248d21bc113bfecd49aaa057e3b037891574855b4422c07f71fb841fd1,EQC3HQcToUHwjYwmPxB5vYuCpapNgrlDN2S4JYs2aEX9XqgEEQBxKLxCsSxIBMLtvZh43qqPw1oNqUQke_K-gTq-FuGa0VTF,TONNEL Relayer #124TONNEL Relayer #644,BronzeBronze,YesYes,96.66666666666663
34,0:864e9537f531959084da8cfe20ae8f4bcd92067d3a30bdc545561e1a86ac9f35,EQDOtAFM1j5BbY9RjDoaruRxw1sATBbct8LD9c4oKgz5OO3BEQBIf2vPWfmfaqzhfm0--BjPVniN4LX9AntghAihpI8zmukwEQCVQ5qEKii4yKC6QDu4efeyi02TSysO_oXVpM08HhmqqEbsEQB5bN1MsmYerxMe7FJ03ZpCvVQH7oIajt_xmwwVciklTdC6,TONNEL Relayer #432TONNEL Relayer #465TONNEL Relayer #488TONNEL Relayer #542,BronzeBronzeBronzeBronze,YesYesYesYes,84.82222222222228
35,0:8ffdc15a174b559de252f6487cd813db787ed1dc322002284bee6790d431fbd6,EQBoED5vhNSRPCKWpK4b-mSYVTs1JSPSnIlYDp-N2dhcNKBf,TONNEL Relayer #591,Bronze,Yes,76.66666666666667
36,0:bd23ef5801b6def68aa55cebdc0f6f2b4c6cc7648186eb9a7823dabd04ff953d,EQDwqkEjR7wlDGLg_K3W3C9nsL_68-xjz49CVmaTsaNtx_MDEQBgTfkDtrl22yL6keNcvjJJikJzbYa568g_xosu7X0aun_t,TONNEL Relayer #57TONNEL Relayer #229,BronzeBronze,YesYes,72.5
37,0:277b4b32dbc256f59c1f5dfe027366e59947a38cb908825ad8b2d05f7e52d11b,EQAbofSAHJuTFjCLVISOrcCCDUEnrCSwuT_5zTwQtDTqEVCGEQAolkUHDiNDDSu8AaDvE9FHgjQymNXdniu2yIrYdvVLtu5j,TONNEL Relayer #79TONNEL Relayer #109,BronzeBronze,YesYes,70.00000000000001
38,0:f936f8c9dae284feea52d2cd09b37bc05a826add0b8db4090ade2116167a2014,EQCWjl7qQadn0JklCLthWr_s4VrhrBTxbJLnbzuw51fRgodn,TONNEL Relayer #204,Bronze,Yes,65.33333333333339
39,0:3eac55c9c861518c0342512c492372790e3cf1a791563c357f8d82ab803979d2,EQAsfHOE1cQ7usnjfLuvO4YOwymh2ZMiGQ1RuJErHrJT9Jdb,TONNEL Relayer #375,Bronze,Yes,35.0
40,0:f3b033bc4c96c38ea068ec64da99a190745ba582e63ffd02e47ade41608720f1,EQDb5a-foS0rD-xGx8mYrhJXWcx82gSw4vc0oht60VD4l4tp,TONNEL Relayer #134,Bronze,Yes,35.0
41,0:42888797d15a7246fe5f9cb321c4168d81417cc1a1f13806944657fa4caaab57,EQCMybt00Hs9ATly4lxdVDnDyqy6R-lPCdxM3hwCIZ_H9mnYEQASvqQ87KP1WymAEwBPQAMc57Usa7ErPMmvg6RnPTYAo-u7EQBdqDvBFAVavl8SE6jfilt6Bpdbc11irDpBKIDzk-KNZem6EQC1PiEBsnJGJlGj3jBKh_xnoe_MC2jjDBc4FwuYt2rW0ucQ,TONNEL Relayer #424TONNEL Relayer #502TONNEL Relayer #599TONNEL Relayer #627,BronzeBronzeBronzeBronze,YesYesYesYes,31.25
42,0:cd38a2dd975069a209e0555bf084187e7e7587bc6857f31f03b4a263146af5ed,EQCEQ5BusgEED6udGxrIPYtn4cl163PsnCvUBWM34dJ2tUEbEQCNLLib-dWgY3cEZ2BqdccocASl-fpWakVyxumg2_fQJqyg,TONNEL Relayer #466TONNEL Relayer #531,BronzeBronze,YesYes,30.0
43,0:8f60fdf9202bc19cd2be848721a7fe317bfe7c1cbc9c8a038df3ff8f1d2d8931,EQCD3s46xdZX0AaFjXP2LKkVYhhn9UgotHLb1ww1w8XeSGIREQBYg_45U04HMJdJp_btElrJidbMTcoCw_rf4l4D06TbAg9tEQCf2AVnnGLf3Mv9k-KSp-nZJFSxFSnM_dgadWRXkUm6EpPO,TONNEL Relayer #33TONNEL Relayer #45TONNEL Relayer #85,BronzeBronzeBronze,YesYesYes,26.2
44,0:449a31f14bba182ee784442572f8aaf6cefd1c0610c0214d815f415d6b65bedb,EQDfRPanX51wBaoYnN7FUcsPzSycdXflvYRjjs_dM1nfZ5sm,TONNEL Relayer #551,Bronze,Yes,25.0
45,0:d326a94936694208acb041797c085e676c25475b2b8f679ea1f01ee85632b3d6,EQDEON5Wd7HXbeSjegQVevGtow8xhd4rznoUZHtVCi55UI8F,TONNEL Relayer #44,Bronze,Yes,25.0
46,0:df4d78fb104cf22353277e22ba7f1539886e9d01f3e825f1d2f4f107eb825ecf,EQBsaMexempAwIA-PJ9OIB2jBOJmUIWr_j66VMcnBonHgOcPEQBnJhjj3IxLXvqMiqjDlZp854z8YNZZ9gT-Rpc7RQ0g2o90EQAaHR0OJ7pl01IdrUmvnZ7gKZm6wLz8LX6UCoAUFPAXYVhMEQAoE05HiCwIJo0B9yUAh3TcfZvMur70XhNkWua0ei8XOeaB,TONNEL Relayer #75TONNEL Relayer #525TONNEL Relayer #630TONNEL Relayer #645,BronzeBronzeBronzeBronze,YesYesYesYes,24.55357142857143
47,0:faee4a6fb6ba69c9c6de5ffac88a4fffc7b2398646c87ccb8538d9f4bed2c376,EQBj1BoCAokqSNpaFNE1nLcd8YKM-nz2BDiMNVwgdEwC4toYEQDYZ75961ci5yAEk_CjMA0UDmEr5LYVGyezdO56KBxsvLLW,TONNEL Relayer #68TONNEL Relayer #579,BronzeBronze,YesYes,20.839285714285708
48,0:f646f0a4fbf234aa579a202f00e4ef4b7f48f74d2c9d7dc296ae7a576298fbf2,EQDqB8PVlRC398aiZo36XKXB2tVxmJ-ndWihC8Eb3pgdQ-ab,TONNEL Relayer #196,Bronze,Yes,20.0
49,0:f90cb820a3e153846bfc7299f593c1901ba8c789d25dd9e8088f80cb9a0cefeb,EQD5V1ohRoo-skiO7loTR7PTrudnS8nlSs4BYtHwZbe-JmAQEQCsBUxMjfi0P7vO-5t_ZzqzKBoNHlBI0KTYy7F2mM1e2buAEQDXwbUy9P6mHsdU9ecwiEQzHYruyjcQquaY9x2O-pn9l_kN,TONNEL Relayer #594TONNEL Relayer #596TONNEL Relayer #632,BronzeBronzeBronze,YesYesYes,18.354700854700855
50,0:76e55076c5a6bb06b80a3aec6c9f02ab5a9e5f40e2811dc1847cb56434bd187e,EQBKnJaRXI6m-knyircGQDVDWmLMNEzCWnuDx1L1ZoewkL4sEQAHKaKP4rX1cMzB4sVMzTL5JvnxguxOnokmbz1W9pMj7_kxEQAn5rHWT7qWl9X3Dscn7SmDW1S-aahbowYH3epSJosmHd5B,TONNEL Relayer #643TONNEL Relayer #654TONNEL Relayer #655,BronzeBronzeBronze,YesYesYes,15.0
51,0:4c6b80aa3bcb4add20124c101a36076f5faa000777d34f252f6fdbb3c2a774d9,EQDwxQs_0M86xvxYz22k5ofF3zDBz2vx6YAqnys7xbZAp2dIEQAC5SopA_h_SK8koz0YqGhEnfAKQCTqhTVdxo1LNXYUwjGn,TONNEL Relayer #55TONNEL Relayer #607,BronzeBronze,YesYes,14.285714285714286
52,0:b3ef223415da021f4053d87a7b9bca544ec7ee1845a5ddeef4b4c766acda4eaa,EQClp6aQBPOtrXLm0GAYEAX0sO2Wc10JHzvm1Z8bm0jrI23Y,TONNEL Relayer #638,Bronze,Yes,10.0
53,0:9e4abfe97a28093fcd441e79804316dc9b265f83fe860b7e22cac469cbcbfe1f,EQAtRhwZg_1Kd7M9fYQfLTMkFs-kHvKGtGfymPmgXaIY31Ou,TONNEL Relayer #475,Bronze,Yes,10.0
54,0:c8088014abc58ec085a8e937bb4ccf0c6eb8eb07373c1767c965d0f4152ff21f,EQBaCVpz0Y0CINeoX6iYpxrslwp7BeRB7CXTLP8gDepSKsC6EQCpQNigX69DoWSk-UoU2DX8GVWBHOQaI_8uom9_Exs9CIHV,TONNEL Relayer #164TONNEL Relayer #529,BronzeBronze,YesYes,10.0
55,0:6e9092d50e167b95d85dce648f06007cd33d3894b0b2f6864f459f561317d75f,EQBflyM6dxPfrkwjas9ELTKGlwvEHbgXvq6YZ0yAEgdMnWiwEQA4fBrRQ23FmDMyCkP3Zr_zM9BDpiLBzgHC9qDw-gVJsfv1,TONNEL Relayer #126TONNEL Relayer #572,BronzeBronze,YesYes,10.0
56,0:0bcab590342c51dd115c6a97b964cc429431e9c92ac43bdde542268cf595949c,EQAHhLmq_HimvEQrhZ_hR-pJc7FJm1EhdqqTWUhBSDIc-OSx,TONNEL Relayer #606,Bronze,Yes,10.0
