,NAME,BATCH,ACTIVE,REP
183,TONNEL Relayer #183,Bronze,No,5.0
184,TONNEL Relayer #184,Bronze,No,5.0
185,TONNEL Relayer #185,Bronze,No,5.0
186,TONNEL Relayer #186,Bronze,No,5.0
187,TONNEL Relayer #187,Bronze,No,21.493506493506498
188,TONNEL Relayer #188,Bronze,No,41.666666666666664
189,TONNEL Relayer #189,Bronze,No,5.0
190,TONNEL Relayer #190,Bronze,No,5.0
191,TONNEL Relayer #191,Bronze,No,5.0
192,TONNEL Relayer #192,Bronze,No,5.0
193,TONNEL Relayer #193,Bronze,No,5.0
194,TONNEL Relayer #194,Bronze,No,5.0
195,TONNEL Relayer #195,Bronze,No,5.0
196,TONNEL Relayer #196,Bronze,Yes,20.0
197,TONNEL Relayer #197,Bronze,No,266.307
198,TONNEL Relayer #198,Bronze,No,6.118233618233618
199,TONNEL Relayer #199,Bronze,No,5.0
200,TONNEL Relayer #200,Bronze,No,5.0
201,TONNEL Relayer #201,Bronze,No,6.666666666666667
202,TONNEL Relayer #202,Bronze,No,6.118233618233618
203,TONNEL Relayer #203,Bronze,No,5.0
204,TONNEL Relayer #204,Bronze,Yes,65.33333333333339
205,TONNEL Relayer #205,Bronze,No,5.0
206,TONNEL Relayer #206,Bronze,No,5.0
207,TONNEL Relayer #207,Bronze,No,5.0
208,TONNEL Relayer #208,Bronze,No,17.99603174603174
209,TONNEL Relayer #209,Bronze,No,8.0
210,TONNEL Relayer #210,Bronze,No,5.0
211,TONNEL Relayer #211,Bronze,No,5.0
212,TONNEL Relayer #212,Bronze,No,5.0
213,TONNEL Relayer #213,Bronze,No,5.476190476190476
214,TONNEL Relayer #214,Bronze,No,5.0
215,TONNEL Relayer #215,Bronze,No,5.0
216,TONNEL Relayer #216,Bronze,No,7.392857142857143
217,TONNEL Relayer #217,Bronze,No,5.0
218,TONNEL Relayer #218,Bronze,No,6.4
219,TONNEL Relayer #219,Bronze,No,21.493506493506498
220,TONNEL Relayer #220,Bronze,No,5.0
221,TONNEL Relayer #221,Bronze,No,5.0
222,TONNEL Relayer #222,Bronze,No,5.0
223,TONNEL Relayer #223,Bronze,No,5.0
224,TONNEL Relayer #224,Bronze,Yes,7.976190476190477
225,TONNEL Relayer #225,Bronze,No,12.996031746031742
226,TONNEL Relayer #226,Bronze,No,5.0
227,TONNEL Relayer #227,Bronze,No,10.555555555555554
228,TONNEL Relayer #228,Bronze,No,5.0
229,TONNEL Relayer #229,Bronze,Yes,52.5
230,TONNEL Relayer #230,Bronze,No,6.118233618233618
